Gross Annual Income,Weekly Savings under new Scheme at 19.50%,Weekly Income under new scheme,Weekly Income under old scheme1k,3/w,19/w,15/w
2k,7/w,38/w,30/w
793k,3048/w,12351/w,9302/w
794k,3052/w,12366/w,9314/w
795k,3056/w,12382/w,9325/w
796k,3060/w,12397/w,9337/w
797k,3063/w,12413/w,9349/w
798k,3067/w,12428/w,9361/w
799k,3071/w,12444/w,9372/w
800k,3075/w,12459/w,9384/w
801k,3078/w,12475/w,9396/w
802k,3082/w,12490/w,9408/w
803k,3086/w,12506/w,9419/w
804k,3090/w,12521/w,9431/w
805k,3093/w,12537/w,9443/w
806k,3097/w,12552/w,9455/w
807k,3101/w,12567/w,9466/w
808k,3105/w,12583/w,9478/w
809k,3108/w,12598/w,9490/w
810k,3112/w,12614/w,9501/w
811k,3116/w,12629/w,9513/w
812k,3120/w,12645/w,9525/w
813k,3123/w,12660/w,9537/w
814k,3127/w,12676/w,9548/w
815k,3131/w,12691/w,9560/w
816k,3135/w,12707/w,9572/w
817k,3138/w,12722/w,9584/w
818k,3142/w,12738/w,9595/w
819k,3146/w,12753/w,9607/w
820k,3150/w,12769/w,9619/w
821k,3153/w,12784/w,9630/w
822k,3157/w,12800/w,9642/w
823k,3161/w,12815/w,9654/w
824k,3165/w,12831/w,9666/w
825k,3168/w,12846/w,9677/w
826k,3172/w,12862/w,9689/w
827k,3176/w,12877/w,9701/w
828k,3180/w,12893/w,9713/w
829k,3183/w,12908/w,9724/w
830k,3187/w,12924/w,9736/w
831k,3191/w,12939/w,9748/w
832k,3195/w,12955/w,9760/w
833k,3198/w,12970/w,9771/w
834k,3202/w,12985/w,9783/w
835k,3206/w,13001/w,9795/w
836k,3210/w,13016/w,9806/w
837k,3213/w,13032/w,9818/w
838k,3217/w,13047/w,9830/w
839k,3221/w,13063/w,9842/w
840k,3225/w,13078/w,9853/w
841k,3228/w,13094/w,9865/w
842k,3232/w,13109/w,9877/w
843k,3236/w,13125/w,9889/w
844k,3240/w,13140/w,9900/w
845k,3243/w,13156/w,9912/w
846k,3247/w,13171/w,9924/w
847k,3251/w,13187/w,9935/w
848k,3255/w,13202/w,9947/w
849k,3258/w,13218/w,9959/w
850k,3262/w,13233/w,9971/w
851k,3266/w,13249/w,9982/w
852k,3270/w,13264/w,9994/w
853k,3273/w,13280/w,10006/w
854k,3277/w,13295/w,10018/w
855k,3281/w,13311/w,10029/w
856k,3285/w,13326/w,10041/w
857k,3288/w,13342/w,10053/w
858k,3292/w,13357/w,10065/w
859k,3296/w,13372/w,10076/w
860k,3300/w,13388/w,10088/w
861k,3303/w,13403/w,10100/w
862k,3307/w,13419/w,10111/w
863k,3311/w,13434/w,10123/w
864k,3315/w,13450/w,10135/w
865k,3318/w,13465/w,10147/w
866k,3322/w,13481/w,10158/w
867k,3326/w,13496/w,10170/w
868k,3330/w,13512/w,10182/w
869k,3333/w,13527/w,10194/w
870k,3337/w,13543/w,10205/w
871k,3341/w,13558/w,10217/w
872k,3345/w,13574/w,10229/w
873k,3348/w,13589/w,10240/w
874k,3352/w,13605/w,10252/w
875k,3356/w,13620/w,10264/w
876k,3360/w,13636/w,10276/w
877k,3363/w,13651/w,10287/w
878k,3367/w,13667/w,10299/w
879k,3371/w,13682/w,10311/w
880k,3375/w,13698/w,10323/w
881k,3378/w,13713/w,10334/w
882k,3382/w,13729/w,10346/w
883k,3386/w,13744/w,10358/w
884k,3390/w,13760/w,10370/w
885k,3393/w,13775/w,10381/w
886k,3397/w,13790/w,10393/w
887k,3401/w,13806/w,10405/w
888k,3405/w,13821/w,10416/w
889k,3408/w,13837/w,10428/w
890k,3412/w,13852/w,10440/w
891k,3416/w,13868/w,10452/w
892k,3420/w,13883/w,10463/w
893k,3423/w,13899/w,10475/w
894k,3427/w,13914/w,10487/w
895k,3431/w,13930/w,10499/w
896k,3435/w,13945/w,10510/w
897k,3438/w,13961/w,10522/w
898k,3442/w,13976/w,10534/w
899k,3446/w,13992/w,10545/w
900k,3450/w,14007/w,10557/w
901k,3453/w,14023/w,10569/w
902k,3457/w,14038/w,10581/w
903k,3461/w,14054/w,10592/w
904k,3465/w,14069/w,10604/w
905k,3468/w,14085/w,10616/w
906k,3472/w,14100/w,10628/w
907k,3476/w,14116/w,10639/w
908k,3480/w,14131/w,10651/w
909k,3483/w,14147/w,10663/w
910k,3487/w,14162/w,10675/w
911k,3491/w,14177/w,10686/w
912k,3495/w,14193/w,10698/w
913k,3498/w,14208/w,10710/w
914k,3502/w,14224/w,10721/w
915k,3506/w,14239/w,10733/w
916k,3510/w,14255/w,10745/w
917k,3513/w,14270/w,10757/w
918k,3517/w,14286/w,10768/w
919k,3521/w,14301/w,10780/w
920k,3525/w,14317/w,10792/w
921k,3528/w,14332/w,10804/w
922k,3532/w,14348/w,10815/w
923k,3536/w,14363/w,10827/w
924k,3540/w,14379/w,10839/w
925k,3543/w,14394/w,10850/w
926k,3547/w,14410/w,10862/w
927k,3551/w,14425/w,10874/w
928k,3555/w,14441/w,10886/w
929k,3558/w,14456/w,10897/w
930k,3562/w,14472/w,10909/w
931k,3566/w,14487/w,10921/w
932k,3570/w,14503/w,10933/w
933k,3573/w,14518/w,10944/w
934k,3577/w,14534/w,10956/w
935k,3581/w,14549/w,10968/w
936k,3585/w,14565/w,10980/w
937k,3588/w,14580/w,10991/w
938k,3592/w,14595/w,11003/w
939k,3596/w,14611/w,11015/w
940k,3600/w,14626/w,11026/w
941k,3603/w,14642/w,11038/w
942k,3607/w,14657/w,11050/w
943k,3611/w,14673/w,11062/w
944k,3615/w,14688/w,11073/w
945k,3618/w,14704/w,11085/w
946k,3622/w,14719/w,11097/w
947k,3626/w,14735/w,11109/w
948k,3630/w,14750/w,11120/w
949k,3633/w,14766/w,11132/w
950k,3637/w,14781/w,11144/w
951k,3641/w,14797/w,11155/w
952k,3645/w,14812/w,11167/w
953k,3648/w,14828/w,11179/w
954k,3652/w,14843/w,11191/w
955k,3656/w,14859/w,11202/w
956k,3660/w,14874/w,11214/w
957k,3663/w,14890/w,11226/w
958k,3667/w,14905/w,11238/w
959k,3671/w,14921/w,11249/w
960k,3674/w,14936/w,11261/w
961k,3678/w,14952/w,11273/w
962k,3682/w,14967/w,11285/w
963k,3686/w,14982/w,11296/w
964k,3689/w,14998/w,11308/w
965k,3693/w,15013/w,11320/w
966k,3697/w,15029/w,11331/w
967k,3701/w,15044/w,11343/w
968k,3704/w,15060/w,11355/w
969k,3708/w,15075/w,11367/w
970k,3712/w,15091/w,11378/w
971k,3716/w,15106/w,11390/w
972k,3719/w,15122/w,11402/w
973k,3723/w,15137/w,11414/w
974k,3727/w,15153/w,11425/w
975k,3731/w,15168/w,11437/w
976k,3734/w,15184/w,11449/w
977k,3738/w,15199/w,11460/w
978k,3742/w,15215/w,11472/w
979k,3746/w,15230/w,11484/w
980k,3749/w,15246/w,11496/w
981k,3753/w,15261/w,11507/w
982k,3757/w,15277/w,11519/w
983k,3761/w,15292/w,11531/w
984k,3764/w,15308/w,11543/w
985k,3768/w,15323/w,11554/w
986k,3772/w,15339/w,11566/w
987k,3776/w,15354/w,11578/w
988k,3779/w,15369/w,11590/w
989k,3783/w,15385/w,11601/w
990k,3787/w,15400/w,11613/w
991k,3791/w,15416/w,11625/w
992k,3794/w,15431/w,11636/w
993k,3798/w,15447/w,11648/w
994k,3802/w,15462/w,11660/w
995k,3806/w,15478/w,11672/w
996k,3809/w,15493/w,11683/w
997k,3813/w,15509/w,11695/w
998k,3817/w,15524/w,11707/w
999k,3821/w,15540/w,11719/w
1000k,3824/w,15555/w,11730/w
